cod_ibge;municipios;renda_per_capita
3527108;Lins;16060738.00
3527207;Lorena;246178.00
3527256;Lourdes;6763890.00
3527306;Louveira;3876663.00
3527405;Lucélia;43489.00
3527504;Lucianópolis;19677150.00
3527603;Luís Antônio;584271.00
3527702;Luiziânia;70465.00
3527801;Lupércio;1556606.00
3527900;Lutécia;93808.00
3528007;Macatuba;98336.00
3528106;Macaubal;101173.00
3528205;Macedônia;643782.00
3528304;Magda;196951.00
3528403;Mairinque;90930.00
3528502;Mairiporã;104128.00
3528601;Manduri;2695115.00
3528700;Marabá Paulista;2288091.00
3528809;Maracaí;291908.00
3528858;Marapoama;157010.00
3528908;Mariápolis;517397.00
3529005;Marília;119694.00
3529104;Marinópolis;76481.00
3529203;Martinópolis;9755960.00
3529302;Matão;40066.00
3529401;Mauá;754950.00
3529500;Mendonça;5356571.00
3529609;Meridiano;20776212.00
3529658;Mesópolis;374784.00
3529708;Miguelópolis;393842.00
3529807;Mineiros do Tietê;81615.00
3529906;Miracatu;1016136.00
3530003;Mira Estrela;226257.00
3530102;Mirandópolis;70361.00
3530201;Mirante do Paranapanema;456953.00
3530300;Mirassol;738742.00
3530409;Mirassolândia;606917.00
3530508;Mococa;2660334.00
3530607;Mogi das Cruzes;213294.00
3530706;Mogi Guaçu;3043691.00
3530805;Moji Mirim;19604517.00
3530904;Mombuca;6865386.00
3531001;Monções;6313563.00
3531100;Mongaguá;124517.00
3531209;Monte Alegre do Sul;58262.00
3531308;Monte Alto;1254605.00
3531407;Monte Aprazível;252217.00
3531506;Monte Azul Paulista;2435240.00
3531605;Monte Castelo;766600.00
3531704;Monteiro Lobato;639162.00
3531803;Monte Mor;128087.00
3531902;Morro Agudo;4317763.00
3532009;Morungaba;83030.00
3532058;Motuca;1225918.00
3532108;Murutinga do Sul;633323.00
3532157;Nantes;120695.00
3532207;Narandiba;88027.00
3532306;Natividade da Serra;142300.00
3532405;Nazaré Paulista;639075.00
3532504;Neves Paulista;93391.00
3532603;Nhandeara;465370.00
3532702;Nipoã;276247.00
3532801;Nova Aliança;367776.00
3532827;Nova Campina;95891.00
3532843;Nova Canaã Paulista;325932.00
3532868;Nova Castilho;221079.00
3532900;Nova Europa;46304.00
3533007;Nova Granada;60664.00
3533106;Nova Guataporanga;377460.00
3533205;Nova Independência;512828.00
3533254;Novais;36774.00
3533304;Nova Luzitânia;213154.00
3533403;Nova Odessa;60213.00
3533502;Novo Horizonte;4020494.00
3533601;Nuporanga;78660.00
3533700;Ocauçu;1585955.00
3533809;Óleo;868091.00
3533908;Olímpia;141366.00
3534005;Onda Verde;128271.00
3534104;Oriente;2551144.00
3534203;Orindiúva;205635.00
3534302;Orlândia;129763.00
3534401;Osasco;640841.00
3534500;Oscar Bressane;2579406.00
3534609;Osvaldo Cruz;86111259.00
3534708;Ourinhos;112881.00
3534757;Ouroeste;1087489.00
3534807;Ouro Verde;3961570.00
3534906;Pacaembu;134985.00
3535002;Palestina;548740.00
3535101;Palmares Paulista;217694.00
3535200;Palmeira d'Oeste;420419.00
3535309;Palmital;136418.00
3535408;Panorama;215050.00
3535507;Paraguaçu Paulista;900626.00
3535606;Paraibuna;317825.00
3535705;Paraíso;1801748.00
3535804;Paranapanema;351772.00
3535903;Paranapuã;275312.00
3536000;Parapuã;945145.00
3536109;Pardinho;133064.00
3536208;Pariquera-Açu;741785.00
3536257;Parisi;368270.00
3536307;Patrocínio Paulista;586023.00
3536406;Paulicéia;53619.00
3536505;Paulínia;1360808.00
3536570;Paulistânia;200144.00
3536604;Paulo de Faria;52389436.00
3536703;Pederneiras;48636.00
3536802;Pedra Bela;269674.00
3536901;Pedranópolis;3066260.00
3537008;Pedregulho;118076.00
3537107;Pedreira;79886.00
3537156;Pedrinhas Paulista;1731363.00
3537206;Pedro de Toledo;1502007.00
3537305;Penápolis;176652.00
3537404;Pereira Barreto;178608.00
3537503;Pereiras;2082458.00
3537602;Peruíbe;1087485.00
3537701;Piacatu;317964.00
3537800;Piedade;1966247.00
3537909;Pilar do Sul;119024.00
3538006;Pindamonhangaba;1597083.00
3538105;Pindorama;1276179.00
3538204;Pinhalzinho;13742498.00
3538303;Piquerobi;498800.00
3538501;Piquete;314651.00
3538600;Piracaia;67093.00
3538709;Piracicaba;197854.00
3538808;Piraju;661695.00
3538907;Pirajuí;34555723.00
3539004;Pirangi;926203.00
3539103;Pirapora do Bom Jesus;540057.00
3539202;Pirapozinho;364797.00
3539301;Pirassununga;826672.00
3539400;Piratininga;927781.00
3539509;Pitangueiras;3312332.00
3539608;Planalto;278466.00
3539707;Platina;1389560.00
3539806;Poá;193761.00
3539905;Poloni;120018.00
3540002;Pompéia;3769347.00
3540101;Pongaí;154422.00
3540200;Pontal;1951861.00
3540259;Pontalinda;94398.00
3540309;Pontes Gestal;1462864.00
3540408;Populina;98029.00
3540507;Porangaba;126662.00
3540606;Porto Feliz;117259.00
3540705;Porto Ferreira;233734.00
3540754;Potim;3754665.00
3540804;Potirendaba;2495873.00
3540853;Pracinha;308459.00
3540903;Pradópolis;620168.00
3541000;Praia Grande;40969.00
3541059;Pratânia;1096525.00
3541109;Presidente Alves;8727831.00
3541208;Presidente Bernardes;126366.00
3541307;Presidente Epitácio;77332.00
3541406;Presidente Prudente;331914.00
3541505;Presidente Venceslau;1325522.00
3541604;Promissão;9242191.00
3541653;Quadra;823130.00
3541703;Quatá;2115365.00
3541802;Queiroz;144522.00
3541901;Queluz;821158.00
3542008;Quintana;684733.00
3542107;Rafard;388523.00
3542206;Rancharia;276283.00
3542305;Redenção da Serra;442882.00
3542404;Regente Feijó;1381836.00
3542503;Reginópolis;66824.00
3542602;Registro;983725.00
3542701;Restinga;184875.00
3542800;Ribeira;2357409.00
3542909;Ribeirão Bonito;211751.00
3543006;Ribeirão Branco;62081.00
3543105;Ribeirão Corrente;371778.00
3543204;Ribeirão do Sul;595498.00
3543238;Ribeirão dos Índios;319057.00
3543253;Ribeirão Grande;224362.00
3543303;Ribeirão Pires;47000.00
3543402;Ribeirão Preto;116991.00
3543501;Riversul;3891002.00
3543600;Rifaina;39955571.00
3543709;Rincão;191157.00
3543808;Rinópolis;226043.00
3543907;Rio Claro;349025.00
3544004;Rio das Pedras;13245335.00
3544103;Rio Grande da Serra;1787681.00
3544202;Riolândia;960727.00
3544251;Rosana;268963.00
3544301;Roseira;92796.00
3544400;Rubiácea;1928456.00
3544509;Rubinéia;374786.00
3544608;Sabino;78950.00
3544707;Sagres;102856.00
3544806;Sales;175475.00
3544905;Sales Oliveira;54769.00
3545001;Salesópolis;169480.00
3545100;Salmourão;417237.00
3545159;Saltinho;251751.00
3545209;Salto;96894.00
3545308;Salto de Pirapora;377871.00
3545407;Salto Grande;9303486.00
3545506;Sandovalina;2221476.00
3545605;Santa Adélia;273943.00
3545704;Santa Albertina;318809.00
3545803;Santa Bárbara d'Oeste;382545.00
3546009;Santa Branca;214790.00
3546108;Santa Clara d'Oeste;7825506.00
3546207;Santa Cruz da Conceição;312818.00
3546256;Santa Cruz da Esperança;96783.00
3546306;Santa Cruz das Palmeiras;161650.00
3546405;Santa Cruz do Rio Pardo;63456.00
3546504;Santa Ernestina;655974.00
3546603;Santa Fé do Sul;2786906.00
3546702;Santa Gertrudes;104372.00
3546801;Santa Isabel;1344880.00
3546900;Santa Lucia;3895817.00
3547007;Santa Maria da Serra;1658732.00
3547106;Santa Mercedes;131127.00
3547205;Santana da Ponte Pensa;153023.00
3547304;Santana de Parnaíba;69067.00
3547403;Santa Rita d'Oeste;68134.00
3547502;Santa Rita do Passa Quatro;825834.00
3547601;Santa Rosa do Viterbo;833444.00
3547650;Santa Salete;42106.00
3547700;Santo Anastácio;39913.00
3547809;Santo André;11544903.00
3547908;Santo Antonio da Alegria;555800.00
3548005;Santo Antonio de Posse;32620294.00
3548054;Santo Antonio do Aracanguá;211521.00
3548104;Santo Antonio do Jardim;1870734.00
3548203;Santo Antonio do Pinhal;289678.00
3548302;Santo Expedito;222832.00
3548401;Santópolis do Aguapeí;148429.00
3548500;Santos;47273.00
3548609;São Bento do Sapucaí;80653.00
3548708;São Bernardo do Campo;24090173.00
3548807;São Caetano do Sul;406647.00
3548906;São Carlos;58277014.00
3549003;São Francisco;15566768.00
3549102;São João da Boa Vista;14141854.00
3549201;São João das Duas Pontes;51167.00
3549250;São João de Iracema;4135189.00
3549300;São João do Pau d'Alho;52612.00
3549409;São Joaquim da Barra;51478.00
3549508;São José da Bela Vista;58492.00
3549607;São José do Barreiro;2191085.00
3549706;São José do Rio Pardo;231517.00
3549805;São José do Rio Preto;63347.00
3549904;São José dos Campos;2375167.00
3549953;São Lourenço da Serra;20962616.00
3550001;São Luís do Paraitinga;45208807.00
3550100;São Manuel;285411.00
3550209;São Miguel Arcanjo;204219.00
3550308;São Paulo;1340317.00
3550407;São Pedro;954225.00
3550506;São Pedro do Turvo;828980607.00
3550605;São Roque;886335.00
3550704;São Sebastião;234364.00
3550803;São Sebastião da Grama;3450778.00
3550902;São Simão;16008645.00
3551009;São Vicente;428491.00
3551108;Sarapuí;501326.00
3551207;Sarutaiá;6121259.00
3551306;Sebastianópolis do Sul;203910.00
3551405;Serra Azul;96557.00
3551504;Serrana;417498.00
3551603;Serra Negra;195523.00
3551702;Sertãozinho;845122.00
3551801;Sete Barras;1349050.00
3551900;Severínia;7109021.00
3552007;Silveiras;379170.00
3552106;Socorro;271911.00
3552205;Sorocaba;92558.00
3552304;Sud Mennucci;1120219.00
3552403;Sumaré;44533398.00
3552502;Suzano;226784.00
3552551;Suzanápolis;16179891.00
3552601;Tabapuã;341980.00
3552700;Tabatinga;14811513.00
3552809;Taboão da Serra;287136.00
3552908;Taciba;340423.00
3553005;Taguaí;10291072.00
3553104;Taiaçu;186412.00
3553203;Taiúva;343427.00
3553302;Tambaú;109907.00
3553401;Tanabi;139651.00
3553500;Tapiraí;700419.00
3553609;Tapiratiba;1323569.00
3553658;Taquaral;185138.00
3553708;Taquaritinga;301184.00
3553807;Taquarituba;46861.00
3553856;Taquarivaí;1660014.00
3553906;Tarabaí;988151.00
3553955;Tarumã;367323.00
3554003;Tatuí;168350.00
3554102;Taubaté;897036.00
3554201;Tejupá;5076192.00
3554300;Teodoro Sampaio;16199985.00
3554409;Terra Roxa;138116.00
3554508;Tietê;627028.00
3554607;Timburi;174935.00
3554656;Torre de Pedra;2158402.00
3554706;Torrinha;66301.00
3554755;Trabiju;37756.00
3554805;Tremembé;284592.00
3554904;Três Fronteiras;44919.00
3554953;Tuiuti;896633.00
3555000;Tupã;122035.00
3555109;Tupi Paulista;181790.00
3555208;Turiúba;2213337.00
3555307;Turmalina;340357.00
3555356;Ubarana;56424.00
3555406;Ubatuba;73691.00
3555505;Ubirajara;212639.00
3555604;Uchôa;2705941.00
3555703;União Paulista;114467.00
3555802;Urânia;401840.00
3555901;Uru;57594.00
3556008;Urupês;286014.00
3556107;Valentim Gentil;46392.00
